Time,Displacement,Force,Strain 1
"0.00","0.00","-0.05681","-0.00001231"
"0.50","0.03","0.7251","0.00007368"
"1.00","0.07","1.622","0.0001726"
"1.50","0.10","2.208","0.0002421"
"2.00","0.13","2.617","0.0002839"
"2.50","0.17","2.965","0.0003219"
"3.00","0.20","3.273","0.0003561"
"3.50","0.23","3.549","0.0003956"
"4.00","0.27","3.796","0.0004325"
"4.50","0.30","4.022","0.0004453"
"5.00","0.33","4.225","0.0004708"
"5.50","0.37","4.414","0.0004915"
"6.00","0.40","4.588","0.0005232"
"6.50","0.43","4.751","0.0005358"
"7.00","0.47","4.912","0.0005478"
"7.50","0.50","5.074","0.0005762"
"8.00","0.53","5.231","0.0005955"
"8.50","0.57","5.389","0.0006153"
"9.00","0.60","5.545","0.0006388"
"9.50","0.63","5.702","0.0006589"
"10.00","0.67","5.862","0.0006886"
"10.50","0.70","6.022","0.0007094"
"11.00","0.73","6.185","0.0007335"
"11.50","0.77","6.354","0.0007592"
"12.00","0.80","6.526","0.0007771"
"12.50","0.83","6.700","0.0007991"
"13.00","0.87","6.877","0.0008287"
"13.50","0.90","7.054","0.0008482"
"14.00","0.93","7.237","0.0008625"
"14.50","0.97","7.424","0.0008839"
"15.00","1.00","7.615","0.0009158"
"15.50","1.03","7.806","0.0009309"
"16.00","1.07","8.006","0.0009541"
"16.50","1.10","8.210","0.0009760"
"17.00","1.13","8.416","0.001012"
"17.50","1.17","8.625","0.001028"
"18.00","1.20","8.839","0.001056"
"18.50","1.23","9.059","0.001074"
"19.00","1.27","9.284","0.001098"
"19.50","1.30","9.504","0.001127"
"20.00","1.33","9.734","0.001150"
"20.50","1.37","9.968","0.001182"
"21.00","1.40","10.20","0.001205"
"21.50","1.43","10.44","0.001233"
"22.00","1.47","10.68","0.001264"
"22.50","1.50","10.92","0.001286"
"23.00","1.53","11.17","0.001318"
"23.50","1.57","11.41","0.001346"
"24.00","1.60","11.67","0.001365"
"24.50","1.63","11.92","0.001390"
"25.00","1.67","12.18","0.001423"
"25.50","1.70","12.44","0.001459"
"26.00","1.73","12.71","0.001486"
"26.50","1.77","12.97","0.001522"
"27.00","1.80","13.24","0.001550"
"27.50","1.83","13.51","0.001584"
"28.00","1.87","13.79","0.001614"
"28.50","1.90","14.06","0.001644"
"29.00","1.93","14.34","0.001678"
"29.50","1.97","14.61","0.001702"
"30.00","2.00","14.89","0.001738"
"30.50","2.03","15.17","0.001769"
"31.00","2.07","15.46","0.001800"
"31.50","2.10","15.74","0.001838"
"32.00","2.13","16.03","0.001861"
"32.50","2.17","16.32","0.001904"
"33.00","2.20","16.60","0.001933"
"33.50","2.23","16.89","0.001962"
"34.00","2.27","17.19","0.002003"
"34.50","2.30","17.48","0.002030"
"35.00","2.33","17.78","0.002062"
"35.50","2.37","18.07","0.002093"
"36.00","2.40","18.37","0.002129"
"36.50","2.43","18.67","0.002178"
"37.00","2.47","18.97","0.002201"
"37.50","2.50","19.27","0.002236"
"38.00","2.53","19.57","0.002275"
"38.50","2.57","19.87","0.002305"
"39.00","2.60","20.17","0.002347"
"39.50","2.63","20.48","0.002382"
"40.00","2.67","20.78","0.002409"
"40.50","2.70","21.09","0.002447"
"41.00","2.73","21.40","0.002485"
"41.50","2.77","21.71","0.002525"
"42.00","2.80","22.02","0.002560"
"42.50","2.83","22.33","0.002593"
"43.00","2.87","22.64","0.002638"
"43.50","2.90","22.96","0.002674"
"44.00","2.93","23.27","0.002712"
"44.50","2.97","23.58","0.002745"
"45.00","3.00","23.89","0.002779"
"45.50","3.03","24.21","0.002826"
"46.00","3.07","24.53","0.002864"
"46.50","3.10","24.84","0.002903"
"47.00","3.13","25.15","0.002942"
"47.50","3.17","25.47","0.002978"
"48.00","3.20","25.79","0.003025"
"48.50","3.23","26.10","0.003061"
"49.00","3.27","26.42","0.003106"
"49.50","3.30","26.74","0.003142"
"50.00","3.33","27.05","0.003189"
"50.50","3.37","27.37","0.003235"
"51.00","3.40","27.69","0.003274"
"51.50","3.43","28.01","0.003325"
"52.00","3.47","28.32","0.003370"
"52.50","3.50","28.64","0.003417"
"53.00","3.53","28.96","0.003463"
"53.50","3.57","29.28","0.003512"
"54.00","3.60","29.59","0.003564"
"54.50","3.63","29.91","0.003622"
"55.00","3.67","30.23","0.003669"
"55.50","3.70","30.55","0.003725"
"56.00","3.73","30.86","0.003781"
"56.50","3.77","31.17","0.003838"
"57.00","3.80","31.48","0.003904"
"57.50","3.83","31.80","0.003961"
"58.00","3.87","32.11","0.004029"
"58.50","3.90","32.41","0.004102"
"59.00","3.93","32.72","0.004171"
"59.50","3.97","33.03","0.004244"
"60.00","4.00","33.34","0.004321"
"60.50","4.03","33.64","0.004406"
"61.00","4.07","33.94","0.004495"
"61.50","4.10","34.24","0.004577"
"62.00","4.13","34.53","0.004677"
"62.50","4.17","34.83","0.004779"
"63.00","4.20","35.12","0.004891"
"63.50","4.23","35.41","0.005004"
"64.00","4.27","35.69","0.005125"
"64.50","4.30","35.97","0.005254"
"65.00","4.33","36.25","0.005397"
"65.50","4.37","36.52","0.005554"
"66.00","4.40","36.78","0.005716"
"66.50","4.43","37.04","0.005887"
"67.00","4.47","37.29","0.006079"
"67.50","4.50","37.54","0.006290"
"68.00","4.53","37.78","0.006500"
"68.50","4.57","38.01","0.006746"
"69.00","4.60","38.23","0.007004"
"69.50","4.63","38.45","0.007283"
"70.00","4.67","38.66","0.007575"
"70.50","4.70","38.85","0.007884"
"71.00","4.73","39.04","0.008217"
"71.50","4.77","39.22","0.008574"
"72.00","4.80","39.39","0.008941"
"72.50","4.83","39.56","0.009345"
"73.00","4.87","39.71","0.009758"
"73.50","4.90","39.86","0.01019"
"74.00","4.93","40.00","0.01066"
"74.50","4.97","40.13","0.01114"
"75.00","5.00","40.25","0.01163"
"75.50","5.03","40.36","0.01216"
"76.00","5.07","40.47","0.01271"
"76.50","5.10","40.56","0.01330"
"77.00","5.13","40.65","0.01390"
"77.50","5.17","40.72","0.01452"
"78.00","5.20","40.79","0.01518"
"78.50","5.23","40.86","0.01587"
"79.00","5.27","40.91","0.01657"
"79.50","5.30","40.95","0.01732"
"80.00","5.33","40.99","0.01810"
"80.50","5.37","41.02","0.01891"
"81.00","5.40","41.04","0.01975"
"81.50","5.43","41.05","0.02064"
"82.00","5.47","41.06","0.02156"
"82.50","5.50","41.05","0.02254"
"83.00","5.53","41.04","0.02353"
"83.50","5.57","41.02","0.02460"
"84.00","5.60","40.98","0.02569"
"84.50","5.63","40.94","0.02685"
"85.00","5.67","40.88","0.02806"
"85.50","5.70","40.80","0.02930"
"86.00","5.73","40.71","0.03062"
"86.50","5.77","40.61","0.03194"
"87.00","5.80","40.50","0.03330"
"87.50","5.83","40.37","0.03469"
"88.00","5.87","40.24","0.03609"
"88.50","5.90","40.10","0.03750"
"89.00","5.93","39.96","0.03892"
"89.50","5.97","39.82","0.04033"
"90.00","6.00","39.67","0.04177"
"90.50","6.03","39.52","0.04321"
"91.00","6.07","39.38","0.04465"
"91.50","6.10","39.23","0.04608"
"92.00","6.13","39.09","0.04750"
"92.50","6.17","38.94","0.04897"
"93.00","6.20","38.79","0.05039"
"93.50","6.23","38.64","0.05184"
"94.00","6.27","38.50","0.05328"
"94.50","6.30","38.35","0.05472"
"95.00","6.33","38.21","0.05614"
"95.50","6.37","38.06","0.05760"
"96.00","6.40","37.92","0.05903"
"96.50","6.43","37.77","0.06047"
"97.00","6.47","37.62","0.06192"
"97.50","6.50","37.48","0.06338"
"98.00","6.53","37.33","0.06482"
"98.50","6.57","37.18","0.06627"
"99.00","6.60","37.03","0.06772"
"99.50","6.63","36.88","0.06916"
"100.00","6.67","36.73","0.07061"
"100.50","6.70","36.58","0.07206"
"101.00","6.73","36.43","0.07352"
"101.50","6.77","36.28","0.07496"
"102.00","6.80","36.12","0.07642"
"102.50","6.83","35.97","0.07788"
"103.00","6.87","35.81","0.07933"
"103.50","6.90","35.65","0.08078"
"104.00","6.93","35.49","0.08226"
"104.50","6.97","35.33","0.08371"
"105.00","7.00","35.17","0.08518"
"105.50","7.03","35.00","0.08664"
"106.00","7.07","34.83","0.08812"
"106.50","7.10","34.66","0.08958"
"107.00","7.13","34.49","0.09105"
"107.50","7.17","34.32","0.09252"
"108.00","7.20","34.14","0.09400"
"108.50","7.23","33.96","0.09548"
"109.00","7.27","33.78","0.09695"
"109.50","7.30","33.60","0.09845"
"110.00","7.33","33.41","0.09993"
"110.50","7.37","33.21","0.1014"
"111.00","7.40","33.02","0.1029"
"111.50","7.43","32.81","0.1044"
"112.00","7.47","32.60","0.1059"
"112.50","7.50","32.35","0.1075"
"112.73","7.52","18.31","0.1024"

